content_id,score,action,gsc_impressions,gsc_clicks
content_,98534.80000000002,PROMOTE,5364,0
content_,79469.2,PROMOTE,14682,269
content_,79324.40000000001,PROMOTE,37368,0
content_,65186.600000000006,PROMOTE,9409,1
content_,64091.30000000001,PROMOTE,9285,16
content_,63633.200000000004,PROMOTE,8842,3
content_,62910.5,PROMOTE,24577,66
content_,61805.3,PROMOTE,8963,11
content_,61787.3,PROMOTE,23542,165
content_,59424.9,PROMOTE,15394,45
